author,year,genre,title,description,thumbnail
David Brooks,2011,nonfiction,The Social Animal,From the influential New York Times columnist and best-selling author of Bobos in Paradise comes a landmark exploration of how human beings and communities succeed. Reprint. A #1 best-seller.,http://books.google.com/books/content?id=lFJd2ZFp5LcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
C. G. Jung,2011,nonfiction,Liber Novus,"Presents the Swiss psychologist's thoughts, experiences, and everything he felt after a period of time spent seeing visions, hearing voices, and inducing hallucinations.",http://books.google.com/books/content?id=mdVAAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Laura Hillenbrand,2011,nonfiction,Seabiscuit,"#1 NEW YORK TIMES BESTSELLER • From the author of the runaway phenomenon Unbroken comes a universal underdog story about the horse who came out of nowhere to become a legend. Seabiscuit was one of the most electrifying and popular attractions in sports history and the single biggest newsmaker in the world in 1938, receiving more coverage than FDR, Hitler, or Mussolini. But his success was a surprise to the racing establishment, which had written off the crooked-legged racehorse with the sad tail. Three men changed Seabiscuit’s fortunes: Charles Howard was a onetime bicycle repairman who introduced the automobile to the western United States and became an overnight millionaire. When he needed a trainer for his new racehorses, he hired Tom Smith, a mysterious mustang breaker from the Colorado plains. Smith urged Howard to buy Seabiscuit for a bargain-basement price, then hired as his jockey Red Pollard, a failed boxer who was blind in one eye, half-crippled, and prone to quoting passages from Ralph Waldo Emerson. Over four years, these unlikely partners survived a phenomenal run of bad fortune, conspiracy, and severe injury to transform Seabiscuit from a neurotic, pathologically indolent also-ran into an American sports icon. BONUS: This edition contains a Seabiscuit discussion guide and an excerpt from Unbroken. Praise for Seabiscuit “Fascinating . . . Vivid . . . A first-rate piece of storytelling, leaving us not only with a vivid portrait of a horse but a fascinating slice of American history as well.”—The New York Times “Engrossing . . . Fast-moving . . . More than just a horse’s tale, because the humans who owned, trained, and rode Seabiscuit are equally fascinating. . . . [Laura Hillenbrand] shows an extraordinary talent for describing a horse race so vividly that the reader feels like the rider.”—Sports Illustrated “REMARKABLE . . . MEMORABLE . . . JUST AS COMPELLING TODAY AS IT WAS IN 1938.”—The Washington Post",http://books.google.com/books/content?id=oEFpcR9p4GYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Elena Aguilar,2011,nonfiction,Onward,"A practical framework to avoid burnout and keep great teachers teaching Onward tackles the problem of educator stress, and provides a practical framework for taking the burnout out of teaching. Stress is part of the job, but when 70 percent of teachers quit within their first five years because the stress is making them physically and mentally ill, things have gone too far. Unsurprisingly, these effects are highest in difficult-to-fill positions such as math, science, and foreign languages, and in urban areas and secondary classrooms—places where we need our teachers to be especially motivated and engaged. This book offers a path to resiliency to help teachers weather the storms and bounce back—and work toward banishing the rain for good. This actionable framework gives you concrete steps toward rediscovering yourself, your energy, and your passion for teaching. You’ll learn how a simple shift in mindset can affect your outlook, and how taking care of yourself physically, mentally, and emotionally is one of the most important things you can do. The companion workbook helps you put the framework into action, streamlining your way toward renewal and strength. Cultivate resilience with a four-part framework based on 12 key habits Uncover your true self, understand emotions, and use your energy where it counts Adopt a mindful, story-telling approach to communication and community building Keep learning, playing, and creating to create an environment of collective celebration By cultivating resilience in schools, we help ensure that we are working in, teaching in, and leading organizations where every child thrives, and where the potential of every child is recognized and nurtured. Onward provides a step-by-step plan for reigniting that spark.",http://books.google.com/books/content?id=oLdSDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Friends Chelsea's Family, and Other Victims",2011,nonfiction,Lies That Chelsea Handler Told Me,"""My tendency to make up stories and lie compulsively for the sake of my own amusement takes up a good portion of my day and provides me with a peace of mind not easily attainable in this economic climate.""--Chelsea Handler, from Chapter 10 of Chelsea Chelsea Bang Bang It's no lie: Chelsea Handler loves to smoke out ""dumbassness,"" the condition people suffer from that allows them to fall prey to her brand of complete and utter nonsense. Friends, family, co-workers--they've all been tricked by Chelsea into believing stories of total foolishness and into behaving like total fools. Luckily, they've lived to tell the tales and, for the very first time, write about them.",http://books.google.com/books/content?id=Cl-qyLII3tMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Erik Larson,2011,nonfiction,In the Garden of Beasts,"Erik Larson, New York Times bestselling author of Devil in the White City, delivers a remarkable story set during Hitler’s rise to power. The time is 1933, the place, Berlin, when William E. Dodd becomes America’s first ambassador to Hitler’s Nazi Germany in a year that proved to be a turning point in history. A mild-mannered professor from Chicago, Dodd brings along his wife, son, and flamboyant daughter, Martha. At first Martha is entranced by the parties and pomp, and the handsome young men of the Third Reich with their infectious enthusiasm for restoring Germany to a position of world prominence. Enamored of the “New Germany,” she has one affair after another, including with the suprisingly honorable first chief of the Gestapo, Rudolf Diels. But as evidence of Jewish persecution mounts, confirmed by chilling first-person testimony, her father telegraphs his concerns to a largely indifferent State Department back home. Dodd watches with alarm as Jews are attacked, the press is censored, and drafts of frightening new laws begin to circulate. As that first year unfolds and the shadows deepen, the Dodds experience days full of excitement, intrigue, romance—and ultimately, horror, when a climactic spasm of violence and murder reveals Hitler’s true character and ruthless ambition. Suffused with the tense atmosphere of the period, and with unforgettable portraits of the bizarre Göring and the expectedly charming--yet wholly sinister--Goebbels, In the Garden of Beasts lends a stunning, eyewitness perspective on events as they unfold in real time, revealing an era of surprising nuance and complexity. The result is a dazzling, addictively readable work that speaks volumes about why the world did not recognize the grave threat posed by Hitler until Berlin, and Europe, were awash in blood and terror.",http://books.google.com/books/content?id=FEstnv3iVj8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
James Andrew Miller,2011,nonfiction,Those Guys Have All the Fun,"In the exclusive behind the scenes look, sports fans can unlock the fascinating history of the channel that changed the way people watch and interact with their favorite teams. It began, in 1979, as a mad idea of starting a cable channel to televise local sporting events throughout the state of Connecticut. Today, ESPN is arguably the most successful network in modern television history, spanning eight channels in the Unites States and around the world. But the inside story of its rise has never been fully told-until now. Drawing upon over 500 interviews with the greatest names in ESPN's history and an All-Star collection of some of the world's finest athletes, bestselling authors James Miller and Tom Shales take us behind the cameras. Now, in their own words, the men and women who made ESPN great reveal the secrets behind its success-as well as the many scandals, rivalries, off-screen battles and triumphs that have accompanied that ascent. From the unknown producers and business visionaries to the most famous faces on television, it's all here.",http://books.google.com/books/content?id=SkYN5eMreOUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
David McCullough,2011,nonfiction,The Greater Journey,"The #1 bestseller that tells the remarkable story of the generations of American artists, writers, and doctors who traveled to Paris, the intellectual, scientific, and artistic capital of the western world, fell in love with the city and its people, and changed America through what they learned, told by America’s master historian, David McCullough. Not all pioneers went west. In The Greater Journey, David McCullough tells the enthralling, inspiring—and until now, untold—story of the adventurous American artists, writers, doctors, politicians, and others who set off for Paris in the years between 1830 and 1900, hungry to learn and to excel in their work. What they achieved would profoundly alter American history. Elizabeth Blackwell, the first female doctor in America, was one of this intrepid band. Another was Charles Sumner, whose encounters with black students at the Sorbonne inspired him to become the most powerful voice for abolition in the US Senate. Friends James Fenimore Cooper and Samuel F. B. Morse worked unrelentingly every day in Paris, Morse not only painting what would be his masterpiece, but also bringing home his momentous idea for the telegraph. Harriet Beecher Stowe traveled to Paris to escape the controversy generated by her book, Uncle Tom’s Cabin. Three of the greatest American artists ever—sculptor Augustus Saint-Gaudens, painters Mary Cassatt and John Singer Sargent—flourished in Paris, inspired by French masters. Almost forgotten today, the heroic American ambassador Elihu Washburne bravely remained at his post through the Franco-Prussian War, the long Siege of Paris, and the nightmare of the Commune. His vivid diary account of the starvation and suffering endured by the people of Paris is published here for the first time. Telling their stories with power and intimacy, McCullough brings us into the lives of remarkable men and women who, in Saint-Gaudens’ phrase, longed “to soar into the blue.",http://books.google.com/books/content?id=lQaPIYIfcM8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Laura Hillenbrand,2011,nonfiction,Unbroken,"Relates the story of a U.S. airman who survived when his bomber crashed into the sea during World War II, spent forty-seven days adrift in the ocean before being rescued by the Japanese Navy, and was held as a prisoner until the end of the war.",http://books.google.com/books/content?id=1PeLDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Jaycee Dugard,2011,nonfiction,A Stolen Life,"A raw and powerful memoir of Jaycee Lee Dugard's own story of being kidnapped as an 11-year-old and held captive for over 18 years On 10 June 1991, eleven-year-old Jaycee Dugard was abducted from a school bus stop within sight of her home in Tahoe, California. It was the last her family and friends saw of her for over eighteen years. On 26 August 2009, Dugard, her daughters, and Phillip Craig Garrido appeared in the office of her kidnapper's parole officer in California. Their unusual behaviour sparked an investigation that led to the positive identification of Jaycee Lee Dugard, living in a tent behind Garrido's home. During her time in captivity, at the age of fourteen and seventeen, she gave birth to two daughters, both fathered by Garrido. Dugard's memoir is written by the 30-year-old herself and covers the period from the time of her abduction in 1991 up until the present. In her stark, utterly honest and unflinching narrative, Jaycee opens up about what she experienced, including how she feels now, a year after being found. Garrido and his wife Nancy have since pleaded guilty to their crimes.",http://books.google.com/books/content?id=KHJFse5YBT0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Dick Cheney,2011,nonfiction,In My Time,"In this eagerly anticipated memoir, former Vice President Dick Cheney delivers an unyielding portrait of American politics over nearly forty years and shares personal reflections on his role as one of the most steadfast and influential statesmen in the history of our country. The public perception of Dick Cheney has long been something of a contradiction. He has been viewed as one of the most powerful vice presidents—secretive, even mysterious, and at the same time opinionated and unflinchingly outspoken. He has been both praised and attacked by his peers, the press, and the public. Through it all, courting only the ideals that define him, he has remained true to himself, his principles, his family, and his country. Now in an enlightening and provocative memoir, a stately page-turner with flashes of surprising humor and remarkable candor, Dick Cheney takes readers through his experiences as family man, policymaker, businessman, and politician during years that shaped our collective history. Born into a family of New Deal Democrats in Lincoln, Nebraska, Cheney was the son of a father at war and a high-spirited and resilient mother. He came of age in Casper, Wyoming, playing baseball and football and, as senior class president, courting homecoming queen Lynne Vincent, whom he later married. This all-American story took an abrupt turn when he flunked out of Yale University, signed on to build power line in the West, and started living as hard as he worked. Cheney tells the story of how he got himself back on track and began an extraordinary ascent to the heights of American public life, where he would remain for nearly four decades: * He was the youngest White House Chief of Staff, working for President Gerald Ford—the first of four chief executives he would come to know well. * He became Congressman from Wyoming and was soon a member of the congressional leadership working closely with President Ronald Reagan. * He became secretary of defense in the George H. W. Bush administration, overseeing America’s military during Operation Desert Storm and in the historic transition at the end of the Cold War. * He was CEO of Halliburton, a Fortune 500 company with projects and personnel around the globe. * He became the first vice president of the United States to serve out his term of office in the twenty-first century. Working with George W. Bush from the beginning of the global war on terror, he was—and remains—an outspoken defender of taking every step necessary to defend the nation. Eyewitness to history at the highest levels, Cheney brings to life scenes from past and present. He describes driving through the White House gates on August 9, 1974, just hours after Richard Nixon resigned, to begin work on the Ford transition; and he portrays a time of national crisis a quarter century later when, on September 11, 2001, he was in the White House bunker and conveyed orders to shoot down a hijacked airliner if it would not divert. With its unique perspective on a remarkable span of American history, In My Time will enlighten. As an intimate and personal chronicle, it will surprise, move, and inspire. Dick Cheney’s is an enduring political vision to be reckoned with and admired for its honesty, its wisdom, and its resonance. In My Time is truly the last word about an incredible political era, by a man who lived it and helped define it—with courage and without compromise.",http://books.google.com/books/content?id=OEyfnCb_MbEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Hamish Bowles,2011,nonfiction,Jacqueline Kennedy,"Photographs of the former first lady and the suits, dresses, and gowns she wore during her White House years accompany essays describing each outfit's history.",http://books.google.com/books/content?id=f_3NzYT79dIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Chicago (Ill.). City Council,2011,nonfiction,Journal of the Proceedings of the City Council,,http://books.google.com/books/content?id=TWw0AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Walter Isaacson,2011,nonfiction,Steve Jobs,"Draws on more than forty interviews with Steve Jobs, as well as interviews with family members, friends, competitors, and colleagues to offer a look at the co-founder and leading creative force behind the Apple computer company.",http://books.google.com/books/content?id=8U2oAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,Dead Or Alive,"Receiving intelligence from the Campus that the world's most threatening terrorist has been tracked to a specific location, Jack Ryan, Jr., the organization's latest recruits and his cousins embark on a dangerous mission to capture him. By the best-selling author of The Hunt for Red October. Reprint.",http://books.google.com/books/content?id=BL6LDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,What the Night Knows,Evil never dies... The stunning thriller from the bestselling author of Velocity and Breathless.,http://books.google.com/books/content?id=XmL0fxKtvy4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
,2011,fiction,The Girl Who Kicked the Hornet's Nest,"In the third volume of the Millennium series, Lisbeth Salander lies in critical condition in a Swedish hospital, a bullet in her head. But she's fighting for her life in more ways than one: if and when she recovers, she'll stand trial for three murders. With the help of Mikael Blomkvist, she'll need to identify those in authority who have allowed the vulnerable, like herself, to suffer abuse and violence. And, on her own, she'll seek revenge--against the man who tried to killer her and against the corrupt government institutions that nearly destroyed her life.",http://books.google.com/books/content?id=AZ5J6B1-4BoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,The Inner Circle,"!--StartFragment--The best-kept secret of the U.S. Presidency is about to be revealed. ""There are stories no one knows. Hidden stories. I love those stories. And since I work in the National Archives, I find those stories for a living."" Beecher White, a young archivist, spends his days working with the most important documents of the U.S. government. He has always been the keeper of other people's stories, never a part of the story himself . . . Until now. When Clementine Kaye, Beecher's first childhood crush, shows up at the National Archives asking for his help tracking down her long-lost father, Beecher tries to impress her by showing her the secret vault where the President of the United States privately reviews classified documents. After they accidentally happen upon a priceless artifact -- a two-hundred-year-old dictionary that once belonged to George Washington -- hidden underneath a desk chair, Beecher and Clementine find themselves suddenly entangled in a web of deception, conspiracy, and murder. Soon a man is dead and Beecher is on the run as he races to learn the truth behind this mysterious national treasure. His search will lead him to discover a coded and ingenious puzzle that conceals a disturbing secret from the founding of our nation. It is a secret, Beecher soon discovers, that some believe is worth killing for. Gripping, fast-paced, and filled with the fascinating historical detail for which he is famous, THE INNER CIRCLE is a thrilling novel that once again proves Brad Meltzer as a brilliant author, writing at the height of his craft.",http://books.google.com/books/content?id=Xvt0hAZDT-AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,Shadowfever,"#1 NEW YORK TIMES BESTSELLER “Evil is a completely different creature, Mac. Evil is bad that believes it’s good.” MacKayla Lane was just a child when she and her sister, Alina, were given up for adoption and banished from Ireland forever. Twenty years later, Alina is dead and Mac has returned to the country that expelled them to hunt her sister’s murderer. But after discovering that she descends from a bloodline both gifted and cursed, Mac is plunged into a secret history: an ancient conflict between humans and immortals who have lived concealed among us for thousands of years. What follows is a shocking chain of events with devastating consequences, and now Mac struggles to cope with grief while continuing her mission to acquire and control the Sinsar Dubh—a book of dark, forbidden magic scribed by the mythical Unseelie King, containing the power to create and destroy worlds. In an epic battle between humans and Fae, the hunter becomes the hunted when the Sinsar Dubh turns on Mac and begins mowing a deadly path through those she loves. Who can she turn to? Who can she trust? Who is the woman haunting her dreams? More important, who is Mac herself and what is the destiny she glimpses in the black and crimson designs of an ancient tarot card? From the luxury of the Lord Master’s penthouse to the sordid depths of an Unseelie nightclub, from the erotic bed of her lover to the terrifying bed of the Unseelie King, Mac’s journey will force her to face the truth of her exile, and to make a choice that will either save the world . . . or destroy it. BONUS: This edition contains a deleted scene from Shadowfever and an excerpt from Karen Marie Moning's Iced. Look for all of Karen Marie Moning’s sensational Fever novels: DARKFEVER | BLOODFEVER | FAEFEVER | DREAMFEVER | SHADOWFEVER | ICED | BURNED | FEVERBORN | FEVERSONG",http://books.google.com/books/content?id=2H4J8ZbGhkAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,Ticktock,"Tommy Phan is a 30-year-old Vietnamese-American detective and novelist living in Southern California, and a chaser of the American Dream. He drives home his brand-new Corvette one day to discover a strange doll on his doorstep. It's a rag doll made entirely of white cloth, with no face or hair or clothes. Where the eyes should be, there are two crossed stitches of black thread. Five sets of crossed black stitches mark the mouth, and another pair form an X over the heart. He brings it into the house. That night, he hears an odd little popping sound and looks up to see the crossed stitches over the doll's heart breaking apart. When he picks up the doll, he feels something pulsing in its chest. Another thread unravels to reveal a reptilian green eye --and not a doll's eye, because it blinks. Tommy Phan pursues the thing as it scrambles away into his house -- and then is pursued by it as it evolves from a terrifying and vicious minikin into a hulking and formidable opponent bent on killing him. BONUS: This edition contains an excerpt from Dean Koontz's The City.",http://books.google.com/books/content?id=UIDAsAI4zUwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,How to Be Alone,"The former Sex & Relationships Editor for Cosmopolitan and host of the wildly popular comedy show Tinder Live with Lane Moore presents her poignant, funny, and deeply moving first book. Lane Moore is a rare performer who is as impressive onstage—whether hosting her iconic show Tinder Live or being the enigmatic front woman of It Was Romance—as she is on the page, as both a former writer for The Onion and an award-winning sex and relationships editor for Cosmopolitan. But her story has had its obstacles, including being her own parent, living in her car as a teenager, and moving to New York City to pursue her dreams. Through it all, she looked to movies, TV, and music as the family and support systems she never had. From spending the holidays alone to having better “stranger luck” than with those closest to her to feeling like the last hopeless romantic on earth, Lane reveals her powerful and entertaining journey in all its candor, anxiety, and ultimate acceptance—with humor always her bolstering force and greatest gift. How to Be Alone is a must-read for anyone whose childhood still feels unresolved, who spends more time pretending to have friends online than feeling close to anyone in real life, who tries to have genuine, deep conversations in a roomful of people who would rather you not. Above all, it’s a book for anyone who desperately wants to feel less alone and a little more connected through reading her words.",http://books.google.com/books/content?id=DDJXDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,Treachery in Death,"In this thriller in the #1 New York Times bestselling phenomenon, Eve Dallas tracks down those who break the law—including the ones sworn to uphold it. Detective Eve Dallas and her partner, Peabody, are following up on a senseless crime—an elderly grocery owner killed by three stoned punks for nothing more than kicks and snacks. This is Peabody’s first case as primary detective—good thing she learned from the master. But soon Peabody stumbles upon a trickier situation. After a hard workout, she’s all alone in the locker room when the gym door clatters open, and—while hiding inside a shower stall trying not to make a sound—she overhears two fellow officers arguing. It doesn’t take long to realize they’re both crooked—guilty not just of corruption but of murder. Now Peabody, Eve, and Eve’s husband, Roarke, are trying to get the hard evidence they need to bring down the dirty cops—knowing all the while that the two are willing to kill to keep their secret. From the Paperback edition.",http://books.google.com/books/content?id=x-e5sl4Tx54C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,The Wise Man's Fear,"Discover #1 New York Times-bestselling Patrick Rothfuss’ epic fantasy series, The Kingkiller Chronicle. “I just love the world of Patrick Rothfuss.” —Lin-Manuel Miranda • “He’s bloody good, this Rothfuss guy.” —George R. R. Martin • “Rothfuss has real talent.” —Terry Brooks DAY TWO: THE WISE MAN’S FEAR “There are three things all wise men fear: the sea in storm, a night with no moon, and the anger of a gentle man.” My name is Kvothe. You may have heard of me. So begins a tale told from his own point of view—a story unequaled in fantasy literature. Now in The Wise Man’s Fear, Day Two of The Kingkiller Chronicle, Kvothe takes his first steps on the path of the hero and learns how difficult life can be when a man becomes a legend in his own time. Praise for The Kingkiller Chronicle: “The best epic fantasy I read last year.... He’s bloody good, this Rothfuss guy.” —George R. R. Martin, New York Times-bestselling author of A Song of Ice and Fire “Rothfuss has real talent, and his tale of Kvothe is deep and intricate and wondrous.” —Terry Brooks, New York Times-bestselling author of Shannara ""It is a rare and great pleasure to find a fantasist writing...with true music in the words."" —Ursula K. Le Guin, award-winning author of Earthsea ""The characters are real and the magic is true.” —Robin Hobb, New York Times-bestselling author of Assassin’s Apprentice ""Masterful.... There is a beauty to Pat's writing that defies description."" —Brandon Sanderson, New York Times-bestselling author of Mistborn",http://books.google.com/books/content?id=dLo_GyEykjQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,Water for Elephants Summary & Study Guide | Sara Gruen,,http://books.google.com/books/content?id=GC5kMYcsHsQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,Live Wire,"Secret government operative Captain Jordan Malone meets his match in Tehya Talamosi, code name Enigma, when they work together on the most deadly mission either of them has ever faced.",http://books.google.com/books/content?id=4bYMtmrUIPEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,The Land of Painted Caves (with Bonus Content),"#1 NEW YORK TIMES BESTSELLER BONUS: This edition contains a reading guide and an interview with Jean M. Auel. In this, the extraordinary conclusion of the ice-age epic series, Earth’s Children®, Ayla, Jondalar, and their infant daughter, Jonayla, are living with the Zelandonii in the Ninth Cave. Ayla has been chosen as an acolyte to a spiritual leader and begins arduous training tasks. Whatever obstacles she faces, Ayla finds inventive ways to lessen the difficulties of daily life, searching for wild edibles to make meals and experimenting with techniques to ease the long journeys the Zelandonii must take while honing her skills as a healer and a leader. And there are the Sacred Caves that Ayla’s mentor takes her to see. They are filled with remarkable paintings of mammoths, lions, and bears, and their mystical aura at times overwhelms Ayla. But all the time Ayla has spent in training rituals has caused Jondalar to drift away from her. The rituals themselves bring her close to death, but through them Ayla gains A Gift of Knowledge so important that it will change her world. Sixth in the acclaimed Earth’s Children® series.",http://books.google.com/books/content?id=dxXAi7rcRwEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,The Fifth Witness,"Mickey Haller has fallen on tough times. He expands his business into foreclosure defense, only to see one of his clients accused of killing the banker she blames for trying to take away her home. Mickey puts his team into high gear to exonerate Lisa Trammel, even though the evidence and his own suspicions tell him his client is guilty. Soon after he learns that the victim had black market dealings of his own, Haller is assaulted, too--and he's certain he's on the right trail. Despite the danger and uncertainty, Haller mounts the best defense of his career in a trial where the last surprise comes after the verdict is in. Connelly proves again why he ""may very well be the best novelist working in the United States today"" (San Francisco Chronicle).",http://books.google.com/books/content?id=KPP6PhKAJgMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,Dead Reckoning,"After witnessing the firebombing of the bar where she works, clairvoyant Sookie Stackhouse has her attention diverted when she realizes her vampire lover, Eric Northman, and his “child,” Pam, are plotting to kill the vampire who is now their master. Reprint.",http://books.google.com/books/content?id=dhkvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,The Help,"The #1 New York Times bestselling novel and basis for the Academy Award-winning film—a timeless and universal story about the lines we abide by, and the ones we don’t—nominated as one of America’s best-loved novels by PBS’s The Great American Read. Aibileen is a black maid in 1962 Jackson, Mississippi, who’s always taken orders quietly, but lately she’s unable to hold her bitterness back. Her friend Minny has never held her tongue but now must somehow keep secrets about her employer that leave her speechless. White socialite Skeeter just graduated college. She’s full of ambition, but without a husband, she’s considered a failure. Together, these seemingly different women join together to write a tell-all book about work as a black maid in the South, that could forever alter their destinies and the life of a small town...",http://books.google.com/books/content?id=5-KerGE_DV0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,Smokin' Seventeen,"When dead bodies start showing up in shallow graves near Vincent Plum Bail Bonds, bounty hunter Stephanie Plum tries to find the killer before she is the next target, while working to choose between the two men in her life.",http://books.google.com/books/content?id=BS0tl1aq16kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,Now You See Her,"Nina Bloom may be the perfect lawyer, wife, and mother . . . but when an innocent man is framed for murder in Key West, her past comes back to haunt her. Nina's secret life began 18 years ago. She had looks to die for, a handsome police officer husband, and a carefree life in Key West. When she learned she was pregnant with their first child, her happiness was almost overwhelming. But Nina's world is shattered when she unearths a terrible secret that causes her to run for her life and change her identity. Now, years later, Nina risks everything she's earned to return to Florida and confront the murderous evil she fled. In a story of wrenching suspense, James Patterson gives us his most head-spinning, action-filled story yet: a Hitchcock-like blend of unquenchable drama and pleasure.",http://books.google.com/books/content?id=zEvLIMwppbsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
,2011,fiction,A Dance with Dragons,"New threats emerge to endanger the future of the Seven Kingdoms, as Daenerys Targaryen, ruling in the East, fights off a multitude of enemies, while Jon Snow, Lord Commander of the Night's Watch, faces his foes both in the Watch and beyond the great Wallof ice and stone.",http://books.google.com/books/content?id=uPqLDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,The Affair,"When film producer Kathy Walker suspects her husband of being unfaithful, she must decide whether to follow her suspicions at the risk of destroying everything, or trust the man she's been married to for 18 years. Original. A first novel.",http://books.google.com/books/content?id=re9Z3-d0cbUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,The Best of Me (Movie Tie-In Enhanced Ebook),"WITH FEATURETTES FROM NICHOLAS SPARKS AND THE MOVIE CAST, DELETED SCENES, MUSIC VIDEO, AND MORE! IN THEATERS OCTOBER 17, 2014! Starring Michelle Monaghan, James Marsden, Luke Bracey, and Liana Liberator ""Everyone wanted to believe that endless love was possible. She'd believed in it once, too, back when she was eighteen."" In the spring of 1984, high school students Amanda Collier and Dawson Cole fell deeply, irrevocably in love. Though they were from opposite sides of the tracks, their love for one another seemed to defy the realities of life in the small town of Oriental, North Carolina. But as the summer of their senior year came to a close, unforeseen events would tear the young couple apart, setting them on radically divergent paths. Now, twenty-five years later, Amanda and Dawson are summoned back to Oriental for the funeral of Tuck Hostetler, the mentor who once gave shelter to their high school romance. Neither has lived the life they imagined . . . and neither can forget the passionate first love that forever changed their lives. As Amanda and Dawson carry out the instructions Tuck left behind for them, they realize that everything they thought they knew -- about Tuck, about themselves, and about the dreams they held dear -- was not as it seemed. Forced to confront painful memories, the two former lovers will discover undeniable truths about the choices they have made. And in the course of a single, searing weekend, they will ask of the living, and the dead: Can love truly rewrite the past?",http://books.google.com/books/content?id=CkF0AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,The Litigators,"The best-selling author of The Confession and The Appeal presents a latest legal thriller in which high-stakes courtroom tensions lead up to an explosive, unorthodox conclusion. A best-selling novel. Reprint.",http://books.google.com/books/content?id=ZMl5Al9CMUEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,Zero Day,"From David Baldacci--the modern master of the thriller and #1 worldwide bestselling novelist-comes a hero: a lone Army Special Agent taking on the toughest crimes facing the nation. And Zero Day is where it all begins.... John Puller is a combat veteran and the best military investigator in the U.S. Army's Criminal Investigation Division. His father was an Army fighting legend, and his brother is serving a life sentence for treason in a federal military prison. Puller has an indomitable spirit and an unstoppable drive to find the truth. Now, Puller is called out on a case in a remote, rural area in West Virginia coal country far from any military outpost. Someone has stumbled onto a brutal crime scene, a family slaughtered. The local homicide detective, a headstrong woman with personal demons of her own, joins forces with Puller in the investigation. As Puller digs through deception after deception, he realizes that absolutely nothing he's seen in this small town, and no one in it, are what they seem. Facing a potential conspiracy that reaches far beyond the hills of West Virginia, he is one man on the hunt for justice against an overwhelming force.",http://books.google.com/books/content?id=l-RAJU8VO_UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
,2011,fiction,Eleven Twenty-two Sixty-three,"Receiving a horrific essay from a GED student with a traumatic past, high-school English teacher Jake Epping is enlisted by a friend to travel back in time to prevent the assassination of John F. Kennedy, a mission for which he must reacclimate to 1960s culture and befriend troubled loner Lee Harvey Oswald. (suspense). Reissue.",http://books.google.com/books/content?id=J5hzAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
